_Kode,_PDF,_Link,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Lokasi,@QR-Images
SG/067/BGW/17/BBY/TM,SG_067_BGW_17_BBY_TM.pdf,https://drive.google.com/file/d/1W0qHPIBnOelMzBPCXlR5ssiQdVUeFWrA/view?usp=drivesdk,Simbiosis Mutualisme,2017,B. Gunawan,120 x 100 cm,Hardboard cut 1/1 pada kanvas,E15-2,/QR/QR-Data-TM/SG-067-BGW-17-BBY-TM.png
SG/068/IRL/18/BBY/TM,SG_068_IRL_18_BBY_TM.pdf,https://drive.google.com/file/d/1t-LMob-stLKSMavM0kEVK9sL7kjBtU-F/view?usp=drivesdk,Lare Sankara Irwanatha,2018,Irwanto Lentho,80 x 80 cm,"Hardboard cut, stencil, and hand coloring",E01-2,/QR/QR-Data-TM/SG-068-IRL-18-BBY-TM.png
SG/069/PRP/10/BBY/TM,SG_069_PRP_10_BBY_TM.pdf,https://drive.google.com/file/d/11z5y-yhUrhhUrPmNMbGDrgQ8AiHf3Gpw/view?usp=drivesdk,Redenominasi,2010,Praba Pangripta,52 x 68 cm,Cetak Digital,E02-1,/QR/QR-Data-TM/SG-069-PRP-10-BBY-TM.png
SG/070/JDI/01/BBY/TM,SG_070_JDI_01_BBY_TM.pdf,https://drive.google.com/file/d/1fti7ZCMrycEeCbZVr0I_xYHIbpr9GTwQ/view?usp=drivesdk,Gembala dan Tikus,2001,Jamyuli Dwi Imam,60 x 40 cm,Hardboard cut on paper,E01-2,/QR/QR-Data-TM/SG-070-JDI-01-BBY-TM.png
SG/071/FDK/18/BBY/TM,SG_071_FDK_18_BBY_TM.pdf,https://drive.google.com/file/d/1TwgvUndOvm1ioUgrE9Gr96Viv2hta8c0/view?usp=drivesdk,We March For All Human Right,2018,Fitriani Dwi Kurniasih,81 x 61 cm,"Woodcut, edisi 1/10",E10-2,/QR/QR-Data-TM/SG-071-FDK-18-BBY-TM.png
SG/072/ABT/13/BBY/TM,SG_072_ABT_13_BBY_TM.pdf,https://drive.google.com/file/d/1dvDLyenL4lGGroBIWfl8UiqVAF9QtOK0/view?usp=drivesdk,Nyanyian Daun-daun Gugur,2013,Alim Bakhtiar,13 x 22 cm,drypoint 1/50,E04-2,/QR/QR-Data-TM/SG-072-ABT-13-BBY-TM.png
SG/073/HDW/16/BBY/TM,SG_073_HDW_16_BBY_TM.pdf,https://drive.google.com/file/d/1fqR1yjUhhcuEKmwM1sAkK2u4i2KbWcJV/view?usp=drivesdk,Sujud Kendang,2016,Herpri Dinawan,200 x 110 cm,cetak digital diatas banner,E16-2,/QR/QR-Data-TM/SG-073-HDW-16-BBY-TM.png
SG/074/FAR/13/BBY/TM,SG_074_FAR_13_BBY_TM.pdf,https://drive.google.com/file/d/1hy7w0RhjGgxXXZH-E6GSmx5E1RtSvm1v/view?usp=drivesdk,Tulisan Blog,2013,Farsijana Adeney Risakota,58.5 x 89 cm,Digital Print,E12-1,/QR/QR-Data-TM/SG-074-FAR-13-BBY-TM.png
SG/075/RSF/20/BBY/TM,SG_075_RSF_20_BBY_TM.pdf,https://drive.google.com/file/d/1mIfgAZl0sR4hygN9s8l2LuqLAVa3Lwux/view?usp=drivesdk,Untitled,2020,Risya Falah,60 x 80 cm,Linocut on paper,E02-2,/QR/QR-Data-TM/SG-075-RSF-20-BBY-TM.png
SG/076/HWF/18/BBY/TM,SG_076_HWF_18_BBY_TM.pdf,https://drive.google.com/file/d/1qTJjl6pXB7n8t469PFtwNockq-ytZV2i/view?usp=drivesdk,Dua Perempuan,2018,Happy W Firdaus,59 x 76 cm,Woodcut,E02-2,/QR/QR-Data-TM/SG-076-HWF-18-BBY-TM.png
