_Kode,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Pameran,_Lokasi,_Deskripsi,@images,_PDF,_Link,@QR-Images
LK/047/SPL/95/BBY/TM,Seri Menonton Televisi 6,1995,Syahrizal Pahlevi,55 x 75 cm,Akrilik di atas kertas,TANDA MATA I,C05-2,Syharizal Pahlevi adalah seorang seniman grafis yang selama ini dikenal melalui karya-karya memanfaatkan bercak warna yang baur dan torehan garis-garis yang serba irit sebagai unsur-unsur rupa untuk menghadirkan abstraksi citra layar kaca televisi. Karya lukisnya ini memang belum sebanding dengan karya-karya cetak grafisnya yang selama ini berisi torehan garis cetak cukil kayu yang memikat. Kali ini ia menuangkan gagasannya dalam lukisan. la yang kuat dan bidang warna yang pekat.,/TM-Low/LK047SPL95BBYTM.jpeg,LK_047_SPL_95_BBY_TM.pdf,https://drive.google.com/file/d/1wwkIMLvhb-ikgCGGsoZka5cn78ViPCX2/view?usp=drivesdk,
LK/048/HDP/96/BBY/TM,Rajah Aura,1996,Hadjar Pamadhi,95 x 75 cm,Cat minyak  di atas kanvas,TANDA MATA I,C05-2,,/TM-Low/LK048HDP96BBYTM.jpeg,LK_048_HDP_96_BBY_TM.pdf,https://drive.google.com/file/d/1j8IZX_tcYhEIzixD7Av5768JzAVv79DI/view?usp=drivesdk,
LK/049/MSN/96/BBY/TM,Etnik Tradisi,1996,Made Sukadana,145 x 165 cm,Akrilik di atas kanvas,TANDA MATA I,C06-1,"Lukisan ini merekam dengan jelas kekuatan Made Sukadana dalam membuat sapuan warna pekat dan ekspresif memenuhi seluruh bidang kanvasnya. Sapuan ekspresif tu bahkan memberi kesan barik pada seluruh permukaan lukisan. Dan dari kepekatan den kegelapan muncul goresan-goresan terang membentuk raut wajah menyerupai topeng atau totem dan dunia yang mistis, alam mambang dan peri. Belakangan, Made Sukadana meninggalkan corak yang abstrak ini dan banyak melukis tema-tema pewayangan dan mitologi Hindu.",/TM-Low/LK049MSN96BBYTM.jpeg,LK_049_MSN_96_BBY_TM.pdf,https://drive.google.com/file/d/1v0r1Lj3CpDS2E-M7_xtBg66KlQW6pjQ-/view?usp=drivesdk,
LK/050/HGY/96/BBY/TM,Rekonstruksi Pembuahan,1996,Herly Gaya,100 x 86 cm,Akrilik di atas kanvas,TANDA MATA II,C06-1,,/TM-Low/LK050HGY96BBYTM.jpeg,LK_050_HGY_96_BBY_TM.pdf,https://drive.google.com/file/d/1qV8n_TvosQW3Pjqx9JA8HydExj6yURjS/view?usp=drivesdk,
LK/051/SMT/96/BBY/TM,Di Antara Pepohonan,1996,Suminto,84 x 82 cm,Cat minyak  di atas kanvas,TANDA MATA I,D03-1,"Ada kecenderungan abstraksi pada karya ini, tetapi tak sepenuhnya menjauh dari bentuk yang kita kenal. Judulnya pun secara tersurat membantu kita mengenali bentuk pohonan dan sosok manusia yang hadir dalam nuansa putih, senada dengan batang-batang pohon itu. Barik yang memenuhi bidang kanvas termanfaatkan dengan baik hingga ikut memperkaya unsur rupa dan warna yang irit dalam lukisan ini.",/TM-Low/LK051SMT96BBYTM.jpeg,LK_051_SMT_96_BBY_TM.pdf,https://drive.google.com/file/d/1QcmfXZ86GEngTA3T8u86Aomals47pw3g/view?usp=drivesdk,
LK/052/WDN/96/BBY/TM,Sapi Suci I,1996,I Wayan Danu,70 x 80 cm,Cat minyak  di atas kanvas,TANDA MATA I,C06-1,,/TM-Low/LK052WDN96BBYTM.jpeg,LK_052_WDN_96_BBY_TM.pdf,https://drive.google.com/file/d/1EYNnNkOBihfReWwxSGz3EdVswRj-Tm8n/view?usp=drivesdk,
LK/053/ATP/96/BBY/TM,"Komposisi I, 1996",1996,Alpha Tejo Purnomo,70 x 35 cm,Cat minyak di atas kanvas,TANDA MATA I,D15-1,,/TM-Low/LK053ATP96BBYTM.jpeg,LK_053_ATP_96_BBY_TM.pdf,https://drive.google.com/file/d/1Rh3YVhi1XGX-ppE_Aswdb8mkbeg0DXuU/view?usp=drivesdk,
LK/054/NPA/97/BBY/TM,Female Series,1997,I Nyoman Putra Ardhana,70 x 35 cm,Cat minyak di atas kanvas,TANDA MATA II,C06-1,"Seperti tersurat pada judulnya, karya ini tampaknya merupakan bagian dari upaya menelisik berbagai soal perupaan tubuh (wanita). Dua tubuh itu tidak digambarkan dalam raut berisi, trimatra, tapi justru dalam garis-garis ekspresif dan dalam warna senada dengan bidang sekitarnya. Maka, semuanya jadi tersamar dalam bidang biru yang terawang. Lelehan warna merah dan kuning yang memecah bidang lukisan ini menjadi dua ruang, hadir tak sekedar sebagai aksen warna, tapi juga memperkaya komposisi.",/TM-Low/LK054NPA97BBYTM.jpeg,LK_054_NPA_97_BBY_TM.pdf,https://drive.google.com/file/d/1oCO3a-DsPxvaLoQMwb5zhsdp0F2pY7oJ/view?usp=drivesdk,
LK/055/PDP/16/BBJ/TM,Happy Birthday !,2016,Pupuk DP,65 x 46 cm,Lukisan Charcoal,,C06-1,,/TM-Low/LK055PDP16BBJTM.jpeg,LK_055_PDP_16_BBJ_TM.pdf,https://drive.google.com/file/d/1Ut-bQAjU8IJsKVjt8N0ejedlHjbLs3vP/view?usp=drivesdk,
LK/056/AWD/--/BBS/TM,Kuncung Keroncongan,,Agus Widodo,110 x 150 cm,,,E08-2,,/TM-Low/LK056AWD--BBSTM.jpeg,LK_056_AWD_--_BBS_TM.pdf,https://drive.google.com/file/d/1_U5a1xy2y9QwQPvZyefVOowT8gIAZZlc/view?usp=drivesdk,
